ASSAY_DB_STAGING_ID,EXPORT_REQEUST_KEY,SEQUENCE_NO,STATUS,MANUFACTURER,CONTROL_LOT,CONTROL_LEVEL,CONTROL_EXPIRY_DATE,ASSAY_NAME,PRODUCT_TYPE,ASSAY_NUMBER,REAGENT_LOT_NO,BODY_FLUID,REAGENT_LOT_EXPIRY_DATE,MEAN,SD,LOW_SPEC,HIGH_SPEC,CONVENTIONAL_UNIT,REVISION_NO,REVISION_DATE,SENT_ON,SENT_BY,ERROR,IMPORTED_ON,EXPORTED ON
1691,15,9,1,Thermo Fisher,OIM19121,1,20211231,AFP,MW,1,1710,Serum,20201128,9.22,0.618,7.37,11.1,IU/mL,1,20201018 18:10:00,18-Oct-20,NRUSSELL,,,
1692,15,10,1,Thermo Fisher,OIM19122,2,20211231,AFP,MW,1,1720,Serum,20210219,54.5,3.54,43.9,65.1,IU/mL,1,20201018 18:10:00,18-Oct-20,NRUSSELL,,,
1693,15,11,1,Thermo Fisher,OIM19123,3,20211231,AFP,MW,1,1720,Serum,20210219,192,14.2,149,235,IU/mL,1,20201018 18:10:00,18-Oct-20,NRUSSELL,,,
1694,15,12,1,Thermo Fisher,OIM19121,1,20211231,AFP,MW,1,1720,Serum,20210219,9.22,0.618,7.37,11.1,IU/mL,1,20201018 18:10:00,18-Oct-20,NRUSSELL,,,
1695,15,13,1,Thermo Fisher,OIM19122,2,20211231,AFP,MW,1,1730,Serum,20210416,54.5,3.54,43.9,65.1,IU/mL,1,20201018 18:10:00,18-Oct-20,NRUSSELL,,,
1696,15,14,1,Thermo Fisher,OIM19123,3,20211231,AFP,MW,1,1730,Serum,20210416,192,14.2,149,235,IU/mL,1,20201018 18:10:00,18-Oct-20,NRUSSELL,,,
1697,15,15,1,Thermo Fisher,OIM19121,1,20211231,AFP,MW,1,1730,Serum,20210416,9.22,0.618,7.37,11.1,IU/mL,1,20201018 18:10:00,18-Oct-20,NRUSSELL,,,
1698,16,1,1,Thermo Fisher,OIM19121,1,20211231,CEA,MW,18,2660,Serum,20201107,5,0.41,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1699,16,2,1,Thermo Fisher,OIM19122,2,20211231,CEA,MW,18,2660,Serum,20201107,32.4,2.63,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1700,16,3,1,Thermo Fisher,OIM19123,3,20211231,CEA,MW,18,2660,Serum,20201107,187,15.1,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1701,16,4,1,Thermo Fisher,OIM19121,1,20211231,CEA,MW,18,2670,Serum,20201206,5,0.41,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1702,16,5,1,Thermo Fisher,OIM19122,2,20211231,CEA,MW,18,2670,Serum,20201206,32.4,2.63,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1703,16,6,1,Thermo Fisher,OIM19123,3,20211231,CEA,MW,18,2670,Serum,20201206,187,15.1,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1704,16,7,1,Thermo Fisher,OIM19121,1,20211231,CEA,MW,18,2680,Serum,20210103,5,0.41,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1705,16,8,1,Thermo Fisher,OIM19122,2,20211231,CEA,MW,18,2680,Serum,20210103,32.4,2.63,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1706,16,9,1,Thermo Fisher,OIM19123,3,20211231,CEA,MW,18,2680,Serum,20210103,187,15.1,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1707,16,10,1,Thermo Fisher,OIM19121,1,20211231,CEA,MW,18,7999,Serum,20201122,5,0.41,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1708,16,11,1,Thermo Fisher,OIM19122,2,20211231,CEA,MW,18,7999,Serum,20201122,32.4,2.63,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1709,16,12,1,Thermo Fisher,OIM19123,3,20211231,CEA,MW,18,7999,Serum,20201122,187,15.1,,,ng/mL,1,20201018 18:10:16,18-Oct-20,NRUSSELL,,,
1710,17,1,1,Thermo Fisher,OIM19121,1,20211231,PSA,MW,47,3730,Serum,20201023,1.78,0.16,,,ng/mL,1,20201018 18:10:22,18-Oct-20,NRUSSELL,,,
1711,17,2,1,Thermo Fisher,OIM19122,2,20211231,PSA,MW,47,3730,Serum,20201023,2.49,0.25,,,ng/mL,1,20201018 18:10:22,18-Oct-20,NRUSSELL,,,
1712,17,3,1,Thermo Fisher,OIM19123,3,20211231,PSA,MW,47,3730,Serum,20201023,23.4,2.08,,,ng/mL,1,20201018 18:10:22,18-Oct-20,NRUSSELL,,,
1713,17,4,1,Thermo Fisher,OIM19121,1,20211231,PSA,MW,47,3740,Serum,20201118,1.78,0.16,,,ng/mL,1,20201018 18:10:22,18-Oct-20,NRUSSELL,,,
